System,Base URL,Category,Method,Endpoint,Description
User Authentication,https://b2b.sangvish.com,Auth & Session,DELETE,/api/auth/admin/users/:id,Delete auth by ID
User Authentication,https://b2b.sangvish.com,Auth & Session,GET,/api/auth/supplier/wallet,Get list of auth records
User Authentication,https://b2b.sangvish.com,Auth & Session,POST,/api/auth/supplier/withdraw,Create / submit a new auth
User Authentication,https://b2b.sangvish.com,Auth & Session,GET,/api/auth/supplier/payout-methods,Get list of auth records
User Authentication,https://b2b.sangvish.com,Auth & Session,POST,/api/auth/supplier/payout-methods,Create / submit a new auth
Checkout & Transactions,https://b2b.sangvish.com,Orders & Address,POST,/api/billing-address,Create / submit a new billingaddress
Checkout & Transactions,https://b2b.sangvish.com,Orders & Address,GET,/api/billing-address,Get list of billingaddress records
Checkout & Transactions,https://b2b.sangvish.com,Orders & Address,PUT,/api/billing-address/:id,Update billingaddress by ID
Checkout & Transactions,https://b2b.sangvish.com,Orders & Address,DELETE,/api/billing-address/:id,Delete billingaddress by ID
Common Backend,https://b2b.sangvish.com,General,POST,/api/campaign,Create / submit a new campaign
Common Backend,https://b2b.sangvish.com,General,GET,/api/campaign,Get list of campaign records
Common Backend,https://b2b.sangvish.com,General,GET,/api/campaign/:id,Get campaign details by ID
Common Backend,https://b2b.sangvish.com,General,DELETE,/api/campaign/:id,Delete campaign by ID
Common Backend,https://b2b.sangvish.com,General,POST,/api/campaign/track/:referral_code,Create / submit a new campaign
Common Backend,https://b2b.sangvish.com,General,GET,/api/category,Get list of category records
Common Backend,https://b2b.sangvish.com,General,POST,/api/category,Create / submit a new category
Common Backend,https://b2b.sangvish.com,General,PUT,/api/category/:id,Update category by ID
Common Backend,https://b2b.sangvish.com,General,DELETE,/api/category/:id,Delete category by ID
Messenger Server,https://b2b.sangvish.com,Real-time Messaging,GET,/api/chat/conversations,Get list of chat records
Messenger Server,https://b2b.sangvish.com,Real-time Messaging,GET,/api/chat/messages/:otherUserId,Get list of chat records
Messenger Server,https://b2b.sangvish.com,Real-time Messaging,POST,/api/chat/messages,Create / submit a new chat
Messenger Server,https://b2b.sangvish.com,Real-time Messaging,PUT,/api/chat/messages/:conversationId/read,Update chat by ID
Messenger Server,https://b2b.sangvish.com,Real-time Messaging,POST,/api/chat/upload,Create / submit a new chat
Messenger Server,https://b2b.sangvish.com,Real-time Messaging,POST,/api/chat/translate,Create / submit a new chat
Customer Experience,https://b2b.sangvish.com,User Interactions,GET,/api/cms,Get list of cms records
Customer Experience,https://b2b.sangvish.com,User Interactions,GET,/api/cms/:slug,Get list of cms records
Customer Experience,https://b2b.sangvish.com,User Interactions,POST,/api/cms,Create / submit a new cms
Customer Experience,https://b2b.sangvish.com,User Interactions,DELETE,/api/cms/:id,Delete cms by ID
Common Backend,https://b2b.sangvish.com,General,GET,/api/commission,Get list of commission records
Common Backend,https://b2b.sangvish.com,General,POST,/api/commission,Create / submit a new commission
Common Backend,https://b2b.sangvish.com,General,PUT,/api/commission/:id,Update commission by ID
Common Backend,https://b2b.sangvish.com,General,DELETE,/api/commission/:id,Delete commission by ID
